,id,lambda_function_name,event_time,write_to_database_timestamp,function_end_timestamp,billed_duration_ms,cold_start
46,image_capture_2025-05-06_15-00-00.jpg,site1-lambdafunction,2025-05-06 21:00:31,2025-05-06 21:00:48.301,2025-05-06 21:00:48.352,15175.0,True
47,image_capture_2025-05-06_14-00-00.jpg,site1-lambdafunction,2025-05-06 20:00:21,2025-05-06 20:00:44.869,2025-05-06 20:00:44.940,22600.0,True
48,image_capture_2025-05-06_13-00-00.jpg,site1-lambdafunction,2025-05-06 19:00:18,2025-05-06 19:00:36.368,2025-05-06 19:00:36.428,16837.0,True
49,image_capture_2025-05-06_12-00-00.jpg,site1-lambdafunction,2025-05-06 18:00:03,2025-05-06 18:00:21.272,2025-05-06 18:00:21.395,16624.0,True
50,image_capture_2025-05-06_11-00-00.jpg,site1-lambdafunction,2025-05-06 17:00:01,2025-05-06 17:00:18.814,2025-05-06 17:00:18.909,16662.0,True
51,image_capture_2025-05-06_09-00-00.jpg,site1-lambdafunction,2025-05-06 15:01:05,2025-05-06 15:01:25.233,2025-05-06 15:01:25.287,18774.0,True
52,image_capture_2025-05-06_08-00-00.jpg,site1-lambdafunction,2025-05-06 14:00:51,2025-05-06 14:01:09.209,2025-05-06 14:01:09.269,16589.0,True
53,image_capture_2025-05-06_07-00-00.jpg,site1-lambdafunction,2025-05-06 13:00:42,2025-05-06 13:01:03.577,2025-05-06 13:01:04.495,20193.0,True
54,image_capture_2025-05-06_06-00-00.jpg,site1-lambdafunction,2025-05-06 12:00:30,2025-05-06 12:00:48.868,2025-05-06 12:00:48.934,17064.0,True
55,image_capture_2025-05-06_04-59-59.jpg,site1-lambdafunction,2025-05-06 11:00:19,2025-05-06 11:00:37.754,2025-05-06 11:00:37.831,16996.0,True
56,image_capture_2025-05-06_04-00-00.jpg,site1-lambdafunction,2025-05-06 10:00:17,2025-05-06 10:00:34.887,2025-05-06 10:00:34.953,16894.0,True
57,image_capture_2025-05-06_03-00-00.jpg,site1-lambdafunction,2025-05-06 09:00:03,2025-05-06 09:00:20.993,2025-05-06 09:00:21.108,16709.0,True
58,image_capture_2025-05-06_02-00-00.jpg,site1-lambdafunction,2025-05-06 08:00:00,2025-05-06 08:00:25.445,2025-05-06 08:00:25.523,23080.0,True
